PMID,Gene Name,Gene Type,Cell Name,Cell Type,Tissue Type,Experiment Type,Experimental Method,Title,Description of Gene,Interacting Gene,CellOntologyID
24204964,GATA4,TF,Muscle cell,Cancer cell,Heart,low-throughput,qRT-PCR;qPCR,Transcriptome-Guided Functional Analyses Reveal Novel Biological Properties and Regulatory Hierarchy of Human Embryonic Stem Cell-Derived Ventricular Cardiomyocytes Crucial for Maturation,GATA4 is a transcription factor expressed in Ventricular cell.,NKX25,CL_0000187
24204964,PPARGC1A,TF,Muscle cell,Cancer cell,Heart,low-throughput,qRT-PCR;qPCR,Transcriptome-Guided Functional Analyses Reveal Novel Biological Properties and Regulatory Hierarchy of Human Embryonic Stem Cell-Derived Ventricular Cardiomyocytes Crucial for Maturation,PPARGC1A is a transcription factor expressed in Ventricular cell.,NKX25,CL_0000187
24204964,ZEB1,TF,Muscle cell,Cancer cell,Heart,low-throughput,qRT-PCR;qPCR,Transcriptome-Guided Functional Analyses Reveal Novel Biological Properties and Regulatory Hierarchy of Human Embryonic Stem Cell-Derived Ventricular Cardiomyocytes Crucial for Maturation,ZEB1 is a transcription factor expressed in Ventricular cell.,NKX25,CL_0000187
24204964,HAND1,TF,Muscle cell,Cancer cell,Heart,low-throughput,qRT-PCR;qPCR,Transcriptome-Guided Functional Analyses Reveal Novel Biological Properties and Regulatory Hierarchy of Human Embryonic Stem Cell-Derived Ventricular Cardiomyocytes Crucial for Maturation,HAND1 is a transcription factor expressed in Ventricular cell.,NKX25,CL_0000187
24207093,TP63,TF,Lung Carcinoma cell,Cancer cell,Lung,low-throughput + high-throughput,Microscopic observation;Flow cytometry,Role of thyroid transcription factor-1 and P63 immunocytochemistry in cytologic typing of non-small cell lung carcinomas,"TP63 is a transcription factor expressed in Lung Carcinoma cell.TTF-1 achieved moderate sensitivity, and high specificity in the diagnosis of AC, while P63 was highly sensitive and specific for the diagnosis of SCC. Immunocytochemistry raised the sensitivity and specificity of FNAC in diagnosing AC and SCC using TTF-1 and P63, respectively.",TTF1,
24207099,CYP2E1,TF,Stem cell,Cancer cell,Breast,low-throughput + high-throughput,Western blot;Flow cytometry,Cytochrome P450 2E1 (CYP2E1) regulates the response to oxidative stress and migration of breast cancer cells,"Ectopic expression of CYP2E1 induced ROS generation, affected autophagy, stimulated endoplasmic reticulum stress and inhibited migration in breast cancer cells with different metastatic potential and P53 status",TP53,CL_0000034
24260486,FOXO1,TF,Prostate carcinoma cell,Cancer cell,Prostate,low-throughput + high-throughput,RNA-seq;Immunohistochemistry;Western blot;qPCR;RT-qPCR;Microscopic observation,The Antiapoptotic Function of miR-96 in Prostate Cancer by Inhibition of FOXO1,Overexpression of FOXO1 induced a strong apoptotic phenotype that was partially rescued by coexpression of miR-96.,MIR96,CL_0001064
24264602,MAPK7,TF,Bone marrow cell,Cancer cell,Bone marrow,low-throughput,qRT-PCR;Western blot;Gene knock down;RT-qPCR;Flow cytometry;qPCR,ERK5 Pathway Regulates Transcription Factors Important for Monocytic Differentiation of Human Myeloid Leukemia Cells,"in AML cells the transcription factor C/EBPβ is positively regulated, while C/EBPα is negatively regulated by ERK5. These findings provide new understanding of dysregulated differentiation in human myeloid leukemia.",MAPK7,
24337481,FOXP3,TF,T cell,Cancer cell,Thymus,low-throughput,Flow cytometry;q-PCR;RT-PCR,CD4+ T Cells from IPEX Patients Convert into Functional and Stable Regulatory T Cells by FOXP3 Gene Transfer,Transcription factor FOXP3 regulates the expression of markers CD4 and CD25 in T cells,CD4;IL2RA,CL_0000084
24342878,GABPA,TF,Stem cell,Cancer cell,Breast,low-throughput,Immunohistochemistry,Anti-oxidative stress response genes: bioinformatic analysis of their expression and relevance in multiple cancers,The transcription factor NRF2 in cancer cells appears to be affected by NADPH enzyme activity,DECR1,CL_0000034
24357161,E2F1,TF,Lung Carcinoma cell,Cancer cell,Lung,low-throughput + high-throughput,qRT-PCR;Western blot;Immunofluorescent staining;Microscopic observation;small RNA-seq,A Critical Role for the Long Non-Coding RNA GAS5 in Proliferation and Apoptosis in Non-Small-Cell Lung Cancer,"Importantly, through western blot analysis, we found that ectopic expression of GAS5 significantly up-regulated p53 expression and down-regulated transcription factor E2F1 expression.",GAS5,
24362522,E2F2,TF,Stem cell,Cancer cell,Breast,low-throughput,Microscopic observation,HER2/Neu tumorigenesis and metastasis is regulated by E2F activator transcription factors,E2F2 is a transcription factor expressed in Cancer stem cell.It was observed that loss of E2F1 or E2F2 significantly reduced the metastatic capacity of the tumor and this was associated with a reduction in circulating tumor cells in the E2F2 knockout,ERBB2,CL_0000034
24362522,E2F3,TF,Stem cell,Cancer cell,Breast,low-throughput,Microscopic observation,HER2/Neu tumorigenesis and metastasis is regulated by E2F activator transcription factors,"E2F3 is a transcription factor expressed in Cancer stem cell.Loss of any E2F delayed Neu-induced tumor onset.E2F1 loss accelerated tumor growth, while E2F2 and E2F3 loss did not.",ERBB2,CL_0000034
24373849,ATF6,TF,lung cell,Cancer cell,Lung,low-throughput,Flow cytometry;Western blot,Acrolein activates cell survival and apoptotic death responses involving the endoplasmic reticulum in A549 lung cells,ATF6 is a transcription factor expressed in A549 lung cell.,EIF2A,
24392029,SDC1,TF,Stem cell,Cancer cell,Breast,low-throughput,RT-PCR;qPCR;Flow cytometry;Western blot;Immunofluorescent staining;Microscopic observation,Syndecan-1 (CD138) Modulates Triple-Negative Breast Cancer Stem Cell Properties via Regulation of LRP-6 and IL-6-Mediated STAT3 Signaling,"As Syndecan-1 modulates the cancer stem cell phenotype via regulation of the WNT and IL-6/STAT3 signaling pathways, it emerges as a promising novel target for therapeutic approaches.",,CL_0000034
24456611,TGFB1,TF,Lung carcinoma cell,Cancer cell,Lung,low-throughput,qRT-PCR;Flow cytometry;Western blot;Microscopic observation,Epithelial-to-mesenchymal transition markers to predict response of Berberine in suppressing lung cancer invasion and metastasis,We demonstrated that TGF-β1 induced epithelial-to-mesenchymal to promote lung cancer invasion and metastasis,CDH1,CL_0001064
24457460,STAT6,TF,Liposarcoma cell,Cancer cell,Adipose,low-throughput,Immunohistochemistry;Microscopic observation,STAT6 is amplified in a subset of dedifferentiated liposarcoma,These findings suggest a role for STAT6-mediated transcriptional activity in some cases of dedifferentiated liposarcoma and highlight the genomic complexity and heterogeneity of dedifferentiated liposarcoma.,CDK4,
24469092,ERG,TF,Prostate carcinoma cell,Cancer cell,Prostate,low-throughput,Immunohistochemistry;RT-PCR,ERG rearrangement and protein expression in the progression to castration-resistant prostate cancer,The transcription factor ERG regulates the progression of prostate cancer by regulating the AR pathway,,CL_0001064
24471967,TTF1,TF,Small cell carcinoma cell,Cancer cell,Lung,low-throughput,Immunohistochemistry;Microscopic observation,Combined high-grade neuroendocrine carcinoma of the lung:Clinicopathological and immunohistochemical study of 34 surgically resected cases,The transcription factor TTF1 regulates CD56 expression in small cell cancer cells,NCAM1,
24474197,GATA6,TF,Muscle cell,Cancer cell,Heart,low-throughput,qRT-PCR;RT-qPCR;Flow cytometry;Immunofluorescent staining;,Global DNA methylation and transcriptional analyses of human ESC-derived cardiomyocytes,GATA6 is a transcription factor expressed in Cardiomyocytes.,NKX25,CL_0000187
24474197,GATA4,TF,Muscle cell,Cancer cell,Heart,low-throughput,qRT-PCR;RT-qPCR;Flow cytometry;Immunofluorescent staining;,Global DNA methylation and transcriptional analyses of human ESC-derived cardiomyocytes,GATA4 is a transcription factor expressed in Cardiomyocytes.,NKX25,CL_0000187
24474197,HAND2,TF,Muscle cell,Cancer cell,Heart,low-throughput,qRT-PCR;RT-qPCR;Flow cytometry;Immunofluorescent staining;,Global DNA methylation and transcriptional analyses of human ESC-derived cardiomyocytes,HAND2 is a transcription factor expressed in Cardiomyocytes.,NKX25,CL_0000187
24495926,POU2F1,TF,Liver Carcinoma cell,Cancer cell,Liver,low-throughput,Weston blot;Microscopic observation,An in vitro liver model consisting of endothelial vascular networks surrounded by human hepatoma cell lines allows for improved hepatitis B virus replication,POU2F1 is a transcription factor expressed in Liver Carcinoma cell.The expression of each gene was compared among co-cultures plated either on gelatin or on EHS gel.,ABCC2,
24507760,EGFR,TF,Pancreatic adenocarcinoma cell,Cancer cell,Pancreas,low-throughput,qPCR;Western blot;Microscopic observation,Redox-responsive targeted gelatin nanoparticles for delivery of combination wt-p53 expressing plasmid DNA and gemcitabine in the treatment of pancreatic cancer,"We recently developed an EGFR-targeted thiolated gelatin-based delivery system that could deliver wild-type p53 (wt-p53) gene efficiently in Panc-1 human adenocarcinoma cells. EGFR-targeted thiolated gelatin nanoparticles loaded with wt-p53 plasmid showed rapid uptake and plasmid release, enhanced gene expression and subsequent higher protein levels causing apoptosis induction and cell death",TP53,
24509877,MAF,TF,Fibroblast cell,Cancer cell,Nerve,low-throughput,Western blot;Immunofluorescent staining;Microscopic observation;qPCR;Flow cytometry,MAF mediates crosstalk between Ras-MAPK and mTOR signaling in NF1,"Acute re-expression of MAF promoted expression of glial differentiation markers in MPNST cells in vitro, decreased self-renewal of embryonic precursors and transiently affected tumor cell phenotypes in vitro by increasing MPNST cell death and reducing metabolic activity and anchorage-independent growth. Paradoxically, chronic MAF overexpression enhanced MPNST cell tumor growth in vivo, correlating with elevated pS6 in vitro and in vivo.",,CL_0000057
24510433,ZEB1,TF,Glial cell,Cancer cell,Brain,low-throughput,Immunofluorescent staining;Microscopic observation,Detection of primary cilia in human glioblastoma,"Ciliated cells within these tumors co-stained with Ki67, a marker for actively dividing cells, and ZEB1, a transcription factor that is upregulated in GBM and linked to tumor initiation, invasion, and chemoresistance.",MKI67,CL_0000125
24520422,IL15,TF,T cell,Cancer cell,Lymph,low-throughput,Flow cytometry,Levels of CD56+TIM-3- Effector CD8 T Cells Distinguish HIV Natural Virus Suppressors from Patients Receiving Antiretroviral Therapy,"Our initial studies indicate that IL-15 treatment partly reverses the CD56 defect, implying that myeloid cell defects could be targeted for immune therapy during chronic HIV disease.",NCAM1,CL_0000084
24525512,SALL4,TF,Ovary carcinoma cell,Cancer cell,Ovary,low-throughput,Immunohistochemical;Microscopic observation,SALL4 Expression in Germ Cell and Non–Germ Cell Tumors,"Observed lack of other pluripotency factors, OCT4 and NANOG, in SALL4-positive non–germ cell tumors can also be diagnostically helpful.",NANOG;POU5F1,CL_0001064
24535435,TP53,TF,Stem cell,Cancer cell,Lung,low-throughput,Gene knock down;Western blot;RT-PCR,Gentian violet induces wtp53 transactivation in cancer cells,"The tumor suppressor p53 is a transcription factor that, upon cellular stress, is activated to induce target genes involved in tumor cell growth inhibition and apoptosis.",NOX1,CL_0000034
24793306,AR,TF,Ovary carcinoma cell,Cancer cell,Ovary,low-throughput + high-throughput,Western blot;qRT-PCR;Microscopic observation;Flow-throughput cytometry;DNA-seq,Ligand-independent androgen receptors promote ovarian teratocarcinoma cell growth by stimulating self-renewal of cancer stem/progenitor cells,"The androgen receptor (AR), a transcription factor that belongs to the nuclear receptor superfamily.",PROM1,CL_0001064
24816720,SOX7,TF,Liver carcinoma cell,Cancer cell,Liver,low-throughput,Weston blot;Microscopic observation;Immunohistochemistry;Flow Cytometric;qRT-PCR,The suppressive role of SOX7 in hepatocarcinogenesis,SOX7 is a transcription factor mediating various developmental processes.,MKI67;MYC,CL_0001064
24819501,IL6,TF,Prostate carcinoma cell,Cancer cell,Prostate,low-throughput + high-throughput,Western Blot;qRT-PCR;Microscopic observation;DNA-seq,Interleukin-6 induces neuroendocrine differentiation (NED) through suppression of RE-1 silencing transcription factor (REST),REST functions as a major switch of IL-6 induced neuroendocrine differentiation in LNCaP cells,REST,CL_0001064
24828662,KEAP1,TF,Lung carcinoma cell,Cancer cell,Lung,low-throughput + high-throughput,Weston blot;RNA-seq,LKB1 Loss induces characteristic patterns of gene expression in human tumors associated with NRF2 activation and attenuation of PI3K-AKT,"Our analysis implicates novel biological features associated with LKB1 loss, including altered mitochondrial metabolism, activation of the nuclear respiratory factor 2 (NRF2) transcription factor by kelch-like ECH-associated protein 1 (KEAP1) mutations, and attenuation of the phosphatidylinositiol 3-kinase and v-akt murine thymoma viral oncogene homolog (PI3K/AKT) pathway.",GABPA,CL_0001064
24828835,IGF1,TF,Brain cancer cell,Cancer cell,Brain,low-throughput,qRT-PCR;Weston blot;Immunofluorescent staining,Osthole inhibits insulin-like growth factor-1-induced epithelial to mesenchymal transition via the inhibition of PI3K/Akt signaling pathway in human brain cancer cells,"The epithelial-to-mesenchymal transition (EMT) is the crucial step for cancer cells to initiate the metastasis and could be induced by many growth factors. In this study, we found that GBM8401 cells were converted to fibroblastic phenotype and the space between the cells became expanded in response to insulin-like growth factor-1 (IGF-1) treatment.",GSK3B;AKT1,
24833089,SOX2,TF,Respiratory tract carcinoma cell,Cancer cell,Respiratory tract,low-throughput,Immunoflorescence staining;Weston blot;qRT-PCR;Microscopic observation,"Overexpression of SOX2 promotes migration, invasion, and epithelial-mesenchymal transition through the Wnt/β-catenin pathway in laryngeal cancer Hep-2 cells",SOX2 is a high-mobility group box containing transcription factor essential for the maintenance of embryonic stem cells.,CDH1,CL_0001064
24884523,MUC4,TF,Pancreas cell,Cancer cell,Pancreas,low-throughput + high-throughput,Weston blot;qRT-PCR;Immunohistochemistry;Gene knock down;DNA-seq;Microscopic observation;DGE-seq,Yin Yang-1 suppresses invasion and metastasis of pancreatic ductal adenocarcinoma by downregulating MMP10 in a MUC4/ErbB2/p38/MEF2C-dependent mechanism,MUC4/EERB2/ P38 /MEF2C down-regulates the expression of MMP10 in pancreatic cancer cells and inhibits the invasion and metastasis of pancreatic ductal adenocarcinoma,MMP10;YY1;AIMP2;MEF2C,
24884523,ERBB2,TF,Pancreas cell,Cancer cell,Pancreas,low-throughput + high-throughput,Weston blot;qRT-PCR;Immunohistochemistry;Gene knock down;DNA-seq;Microscopic observation;DGE-seq,Yin Yang-1 suppresses invasion and metastasis of pancreatic ductal adenocarcinoma by downregulating MMP10 in a MUC4/ErbB2/p38/MEF2C-dependent mechanism,MUC4/EERB2/ P38 /MEF2C down-regulates the expression of MMP10 in pancreatic cancer cells and inhibits the invasion and metastasis of pancreatic ductal adenocarcinoma,YY1;MUC4;MEF2C;MMP10;AIMP2,
24884523,AIMP2,TF,Pancreas cell,Cancer cell,Pancreas,low-throughput + high-throughput,Weston blot;qRT-PCR;Immunohistochemistry;Gene knock down;DNA-seq;Microscopic observation;DGE-seq,Yin Yang-1 suppresses invasion and metastasis of pancreatic ductal adenocarcinoma by downregulating MMP10 in a MUC4/ErbB2/p38/MEF2C-dependent mechanism,MUC4/EERB2/ P38 /MEF2C down-regulates the expression of MMP10 in pancreatic cancer cells and inhibits the invasion and metastasis of pancreatic ductal adenocarcinoma,MMP10;MUC4;YY1;MEF2C,
24884523,MEF2C,TF,Pancreas cell,Cancer cell,Pancreas,low-throughput + high-throughput,Weston blot;qRT-PCR;Immunohistochemistry;Gene knock down;DNA-seq;Microscopic observation;DGE-seq,Yin Yang-1 suppresses invasion and metastasis of pancreatic ductal adenocarcinoma by downregulating MMP10 in a MUC4/ErbB2/p38/MEF2C-dependent mechanism,MUC4/EERB2/ P38 /MEF2C down-regulates the expression of MMP10 in pancreatic cancer cells and inhibits the invasion and metastasis of pancreatic ductal adenocarcinoma,MMP10;YY1;MUC4;AIMP2,
24983967,TRIM28,TF,Lung carcinoma cell,Cancer cell,Lung,low-throughput,PCR;Western blot;Immunofluorescent staining,Trim28 contributes to EMT via regulation of E-cadherin and N-cadherin in lung cancer cell lines,"Trim28 is a tumor suppressor early in the transformation process in lung cancer, but in later stages it functions as an oncogene.",CDH2;MUC1;CDH1,CL_0001064
24991827,YY1,TF,Stem cell,Cancer cell,Prostate,low-throughput,Immunofluorescent staining;PCR;Western blot;Immunohistochemistry,YY1-MIR372-SQSTM1 regulatory axis in autophagy,YY1 (YY1 transcription factor) is a well-known epigenetic regulator and is upregulated in many cancers.,SQSTM1,CL_0000034
25042806,DIXDC1,TF,Lung carcinoma cell,Cancer cell,Lung,low-throughput + high-throughput,Western blot;Immunofluorescent staining;Microscopic observation;Sequencing technique,An AMPK-independent signaling pathway downstream of the LKB1 tumor suppressor controls Snail1 and metastatic potential,"DIXDC1 depletion results in upregulation of Snail1 in a FAK-dependent manner, leading to increased cell invasion.",STK11;SNAI1;MARK4;MARK1,CL_0001064
25042806,SNAI1,TF,Lung carcinoma cell,Cancer cell,Lung,low-throughput + high-throughput,Western blot;Immunofluorescent staining;Microscopic observation;Sequencing technique,An AMPK-independent signaling pathway downstream of the LKB1 tumor suppressor controls Snail1 and metastatic potential,"Similar to loss of LKB1, DIXDC1 depletion results in upregulation of SNAIL1 in a FAK-dependent manner, leading to increased cell invasion.",STK11;SNAI1;MARK4;MARK1,CL_0001064
25042806,STK11,TF,Lung carcinoma cell,Cancer cell,Lung,low-throughput + high-throughput,Western blot;Immunofluorescent staining;Microscopic observation;Sequencing technique,An AMPK-independent signaling pathway downstream of the LKB1 tumor suppressor controls Snail1 and metastatic potential,The serine/threonine kinase LKB1 is a tumor suppressor whose loss is associated with increased metastatic potential.,STK11;SNAI1;MARK4;MARK1,CL_0001064
25046976,ATF3,TF,Skin carcinoma cell,Cancer cell,Skin,low-throughput,Microscopic observation;Immunohistochemistry;Western blot,Activation of autophagic pathways is related to growth inhibition and senescence in cutaneous squamous cell carcinoma,Activating transcription factor 3 (ATF3) has been suggested as a marker of advanced or metastatic cutaneous SCC.,,CL_0001064
25074367,NCAM1,TF,Cutaneous neuroendocrine carcinoma cell,Cancer cell,Skin,low-throughput,Immunohistochemistry;Microscopic observation,Merkel-Zell-Karzinom,CD56 is a transcription factor expressed in Cutaneous neuroendocrine carcinoma cell.,KRT7,
25074367,B3GAT1,TF,Cutaneous neuroendocrine carcinoma cell,Cancer cell,Skin,low-throughput,Immunohistochemistry;Microscopic observation,Merkel-Zell-Karzinom,CD57 is a transcription factor expressed in Cutaneous neuroendocrine carcinoma cell.,KRT7,
25074367,BCL2,TF,Cutaneous neuroendocrine carcinoma cell,Cancer cell,Skin,low-throughput,Immunohistochemistry;Microscopic observation,Merkel-Zell-Karzinom,BCL2 is a transcription factor expressed in Cutaneous neuroendocrine carcinoma cell.,KRT7,
25074367,DNTT,TF,Cutaneous neuroendocrine carcinoma cell,Cancer cell,Skin,low-throughput,Immunohistochemistry;Microscopic observation,Merkel-Zell-Karzinom,TDT is a transcription factor expressed in Cutaneous neuroendocrine carcinoma cell.,KRT7,
25944390,TTF1,TF,Lung carcinoma cell,Cancer cell,Lung,low-throughput,Immunohistochemistry;Microscopic observation,"The Value of Cytokeratin 5/6, p63 and Thyroid Transcription Factor-1 in Adenocarcinoma, Squamous Cell Carcinoma and Non-Small-Cell Lung Cancer of the Lung",Thyroid transcription factor-1 (TTF-1) is a marker that distinguishes lung adenocarcinoma from squamous cell carcinoma and is a therapeutic target,TP63,CL_0001064
27481509,ETS1,TF,Natural killer cell,Cancer cell,Peripheral blood,low-throughput,RT-qPCR;Weston blot;Flow-throughput cytometry,Natural killer cells in acute myeloid leukemia patients:from phenotype to transcriptomic analysis,"ETS-1 transcription factor was shown to bind to a specific and common region in the NCRs promoters, thus appearing as a good candidate to explain the coordinated regulation of three NCRs.",NCR1;NCR2;NCR3,CL_0000623
28111004,TWIST1,TF,Epithelial cell,Cancer cell,Ovarian,low-throughput + high-throughput,Immunohistochemistry;RNA-seq;Flow-throughput cytometry,Single-Cell RNA Sequencing Reveals Expanded Clones of Islet Antigen-Reactive CD4+ T Cells in Peripheral Blood of Subjects with Type 1 Diabetes,TWIST and SNAIL are transcription factors that regulate the expression of PAX8 and MUC16 in ovarian cancer cells,PAX8;MUC16,CL_0000066
28111004,SNAI1,TF,Epithelial cell,Cancer cell,Ovarian,low-throughput + high-throughput,Immunohistochemistry;RNA-seq;Flow-throughput cytometry,Single-Cell RNA Sequencing Reveals Expanded Clones of Islet Antigen-Reactive CD4+ T Cells in Peripheral Blood of Subjects with Type 1 Diabetes,TWIST and SNAIL are transcription factors that regulate the expression of PAX8 and MUC16 in ovarian cancer cells,PAX8;MUC16,CL_0000066
29072684,FOXA1,TF,non-small cell lung cancer,Cancer cell,Lung,low-throughput + high-throughput,"Weston blot;Microscopic observation;Immunohistochemistry;ChIP assay;RT-PCR;Immunofluorescent staining;Plasmids, siRNA and transfection",PLOD2 regulated by transcription factor FOXA1 promotes metastasis in NSCLC,The transcription factor FOXA1 binds directly to PLOD2 promoter to initiate PLOD2 transcription and promote the metastasis of non-small cell lung cancer (NSCLC) cells,PLOD2,
29537103,TGFB1,TF,Stem cell,Cancer cell,Ovarian,low-throughput,qPCR;Western blot;Flow cytometry;Immunohistochemistry;Immunofluorescent staining,Stemness and chemoresistance are imparted to the OC cells through TGFβ1 driven EMT,"In our study, TGFβ1 induced enhanced stem-like properties like high expression of the pluripotent markers SOX2, OCT4a, and NANOG, along with CD44, and CD117 in the OC cells.",NANOG;CD44;SOX2;KIT,CL_0000034
29540402,MPO,TF,Colon carcinoma cell,Cancer cell,Colon,low-throughput + high-throughput,Immunohistochemistry;Chromatin immunoprecipitation assays;RT-PCR;Western blot,MPO Promoter Polymorphism rs2333227 Enhances Malignant Phenotypes of Colorectal Cancer by Altering the Binding Affinity of AP-2α,"Mechanistically, we found that MPO SNP rs2333227 C to T mutation altered the binding affinity of the transcription factors AP-2a to the rs2333227 mutation region, sequentially enhancing expression levels of MPO and activating further IL23A-MMP9 axis-mediated oncogenic signaling.",,CL_0001064
29568088,PAX6,TF,Stem cell,Cancer cell,Lung,low-throughput + high-throughput,Survival analysis;Western blot;Microscopic observation;RT-qPCR;Western blot,Transcription factor PAX6 as a novel prognostic factor and putative tumour suppressor in non-small cell lung cancer,Our findings strongly support the proposition of PAX6 as a valid and positive prognostic marker in NSCLC in node-positive patients.,SFRP2;CTGF;VEGFD;PTEN,CL_0000034
29576613,HOXB7,TF,Stem cell,Cancer cell,Lung,low-throughput,RT-qPCR;Western blot;Microscopic observation,HOXB7 overexpression in lung cancer is a hallmark of acquired stem-like phenotype,"We validated this new circuit by showing that HOXB7 enhances reprogramming to iPSC with comparable efficiency to LIN28B or its target c-MYC, which is a canonical reprogramming factor.",LIN28B,CL_0000034
29602546,TFAP2B,TF,Stem cell,Cancer cell,Uterus,high-throughput,RNA-seq;DNA sequencing;Bioinformatic prediction;,Decreased expression of TFAP2B in endometrial cancer predicts poor prognosis: A study based on TCGA data,"TFAP2B expression may be a potential prognostic molecular marker of poor survival in endometrial cancer, Moreover, the p53/hypoxia, androgen response and notch signaling pathway may be the key pathway regulated by TFAP2B in EC.",TP53,CL_0000034
29864419,FOSL1,TF,Pancreas cell,Cancer cell,Pancreas,low-throughput + high-throughput,Immunofluorescent staining;RNA-seq; Microscopic observation;Weston blot;Flow cytometry;qRT-PCR;qPCR,Cigarette Smoke Induces Stem Cell Features of Pancreatic Cancer Cells via PAF1,FOL1 can activate the elevated expression of PAF1.,PAF1,
29869379,FLI1,TF,Stem cell,Cancer cell,Breast,low-throughput,qRT-PCR;Weston blot;Immunohistochemistry;Microscopic observation,Friend leukemia virus integration 1 is a predictor of poor prognosis of breast cancer and promotes metastasis and cancer stem cell properties of breast cancer cells,FLI-1 is a potent predictor of poor prognosis in breast cancer patients.,ALDH1A1;PROM1,CL_0000034
29930174,HIF1A,TF,Stem cell,Cancer cell,Lung,low-throughput + high-throughput,qRT–PCR;qPCR;Western blot; Immunohistochemistry;Gene knock down;Bioinformatic prediction; Microscopic observation;RNA-Seq;Survival analysis,A HIF–LIMD1 negative feedback mechanism mitigates the pro-tumorigenic effects of hypoxia,"Hypoxic induction of LIMD1 expression results in increased HIF-a protein degradation, inhibiting HIF-1 target gene expression,tumour growth and vascularisation.",LIMD1,CL_0000034
30229432,NR1H4,TF,Liver cell,Cancer cell,Liver,low-throughput + high-throughput,Weston blot;Gene knock down;PCR;Sequencing technique;RT-PCR,Establishment of a DGKθ Endogenous Promoter Luciferase Reporter HepG2 Cell Line for Studying the Transcriptional Regulation of DGKθ Gene,"To test the cell line, FXR, the transcription factor for upregulating the expression of DGKθgene, was used to validate the cell line.",DGKB,CL_0000182
30229432,E2F1,TF,Liver cell,Cancer cell,Liver,low-throughput + high-throughput,Weston blot;Gene knock down;PCR;Sequencing technique;RT-PCR,Establishment of a DGKθ Endogenous Promoter Luciferase Reporter HepG2 Cell Line for Studying the Transcriptional Regulation of DGKθ Gene,"DGKθ expression was upregulated by transcription factors c-MYC and downregulated by transcription factors E2F1, which was also confirmed in wild-type HepG2 cells.",DGKB,CL_0000182
30236600,MAPK3,TF,Uterus carcinoma cell,Cancer cell,Uterus,low-throughput,Weston blot,The cigarette smoke components induced the cell proliferation and epithelial to mesenchymal transition via production of reactive oxygen species in endometrial adenocarcinoma cells,The CS components activated the ROS-p38 MAPK-EMT pathway by increasing the level of phosphorylated p38 MAPK and p44/42 (ERK1/2),,CL_0001064
30236600,MAPK1,TF,Uterus carcinoma cell,Cancer cell,Uterus,low-throughput,Weston blot,The cigarette smoke components induced the cell proliferation and epithelial to mesenchymal transition via production of reactive oxygen species in endometrial adenocarcinoma cells,The CS components activated the ROS-p38 MAPK-EMT pathway by increasing the level of phosphorylated p38 MAPK and ERK1/2,,CL_0001064
30241553,BIRC5,TF,Ovarian carcinoma cell,Cancer cell,Ovarian,low-throughput,Weston blot;Immunofluorescent staining;Microscopic observation,miR-203 inhibits ovarian tumor metastasis by targeting BIRC5 and attenuating the TGFβ pathway,BIRC5 is a target for miR-203 to inhibits ovarian tumor metastasis.,VIM;SNAI2;KRT7,CL_0001064
30244296,TNF,TF,Intestine carcinoma cell,Cancer cell,Intestine,low-throughput,Weston blot;qPCR;Immunofluorescent staining;Immunohistochemistry;HE staining;PCR,Ponicidin inhibits pro-inflammatory cytokine TNF-α-induced epithelial-mesenchymal transition and metastasis of colorectal cancer cells via suppressing the AKT/GSK-3β/Snail pathway,"migration and invasion of HCT116 cells induced by pro-inflammatory cytokine tumor necrosis factor-α (TNF-α) in vitro, and liver metastasis in vivo.",SNAI1;GSK3B;AKT1,CL_0001064
30244296,AKT1,TF,Intestine carcinoma cell,Cancer cell,Intestine,low-throughput,Weston blot;qPCR;Immunofluorescent staining;Immunohistochemistry;HE staining;PCR,Ponicidin inhibits pro-inflammatory cytokine TNF-α-induced epithelial-mesenchymal transition and metastasis of colorectal cancer cells via suppressing the AKT/GSK-3β/Snail pathway,targeting the AKT/GSK-3β/Snail pathway by PON might be a promising treatment for TNF-α-induced EMT and metastasis of CRC.,TNF,CL_0001064
30244296,SNAI1,TF,Intestine carcinoma cell,Cancer cell,Intestine,low-throughput,Weston blot;qPCR;Immunofluorescent staining;Immunohistochemistry;HE staining;PCR,Ponicidin inhibits pro-inflammatory cytokine TNF-α-induced epithelial-mesenchymal transition and metastasis of colorectal cancer cells via suppressing the AKT/GSK-3β/Snail pathway,targeting the AKT/GSK-3β/Snail pathway by PON might be a promising treatment for TNF-α-induced EMT and metastasis of CRC.,TNF,CL_0001064
30244296,GSK3B,TF,Intestine carcinoma cell,Cancer cell,Intestine,low-throughput,Weston blot;qPCR;Immunofluorescent staining;Immunohistochemistry;HE staining;PCR,Ponicidin inhibits pro-inflammatory cytokine TNF-α-induced epithelial-mesenchymal transition and metastasis of colorectal cancer cells via suppressing the AKT/GSK-3β/Snail pathway,targeting the AKT/GSK-3β/Snail pathway by PON might be a promising treatment for TNF-α-induced EMT and metastasis of CRC.,TNF,CL_0001064
30244317,POU5F1,TF,Stem cell,Cancer cell,Ovarian,low-throughput,Weston blot;Flow-throughput cytometry;qPCR,Enrichment of cancer stem cells by agarose multi-well dishes and 3D spheroid culture,"Stem cell transcription factors such as OCT4,NANOG, and SOX2",PROM1;CD44,CL_0000034
